,Año,Trimestre,Provincia,Velocidad_Media
0,2022,4,Buenos Aires,111.0
1,2022,4,Capital Federal,18.286
2,2022,4,Catamarca,8.333
3,2022,4,Chaco,10.402
4,2022,4,Chubut,1.592
5,2022,4,Córdoba,10.877
6,2022,4,Corrientes,9.472
7,2022,4,Entre Ríos,8.747
8,2022,4,Formosa,7.203
9,2022,4,Jujuy,3.932
10,2022,4,La Pampa,191.0
11,2022,4,La Rioja,61.0
12,2022,4,Mendoza,3.876
13,2022,4,Misiones,9.124
14,2022,4,Neuquén,9.537
15,2022,4,Río Negro,7.531
16,2022,4,Salta,7.593
17,2022,4,San Juan,1.639
18,2022,4,San Luis,3.067
19,2022,4,Santa Cruz,1.433
20,2022,4,Santa Fe,903.0
21,2022,4,Santiago Del Estero,344.0
22,2022,4,Tierra Del Fuego,1.348
23,2022,4,Tucumán,8.833
24,2022,3,Buenos Aires,7.019
25,2022,3,Capital Federal,10.105
26,2022,3,Catamarca,6.099
27,2022,3,Chaco,5.321
28,2022,3,Chubut,1.557
29,2022,3,Córdoba,5.632
30,2022,3,Corrientes,4.507
31,2022,3,Entre Ríos,4.249
32,2022,3,Formosa,3.035
33,2022,3,Jujuy,3.243
34,2022,3,La Pampa,1.81
35,2022,3,La Rioja,4.43
36,2022,3,Mendoza,3.416
37,2022,3,Misiones,4.93
38,2022,3,Neuquén,4.781
39,2022,3,Río Negro,3.413
40,2022,3,Salta,4.133
41,2022,3,San Juan,1.584
42,2022,3,San Luis,1.933
43,2022,3,Santa Cruz,1.26
44,2022,3,Santa Fe,4.515
45,2022,3,Santiago Del Estero,1.769
46,2022,3,Tierra Del Fuego,1.101
47,2022,3,Tucumán,5.336
48,2022,2,Buenos Aires,655.0
49,2022,2,Capital Federal,9.397
50,2022,2,Catamarca,5.656
51,2022,2,Chaco,5.061
52,2022,2,Chubut,1.491
53,2022,2,Córdoba,5.351
54,2022,2,Corrientes,4.331
55,2022,2,Entre Ríos,4.003
56,2022,2,Formosa,2.847
57,2022,2,Jujuy,2.939
58,2022,2,La Pampa,1.607
59,2022,2,La Rioja,4.328
60,2022,2,Mendoza,2.972
61,2022,2,Misiones,4.623
62,2022,2,Neuquén,4.653
63,2022,2,Río Negro,3.326
64,2022,2,Salta,3.877
65,2022,2,San Juan,1.444
66,2022,2,San Luis,1.932
67,2022,2,Santa Cruz,1.181
68,2022,2,Santa Fe,4.201
69,2022,2,Santiago Del Estero,1.634
70,2022,2,Tierra Del Fuego,1.097
71,2022,2,Tucumán,5.009
72,2022,1,Buenos Aires,6.251
73,2022,1,Capital Federal,8.822
74,2022,1,Catamarca,5.122
75,2022,1,Chaco,4.584
76,2022,1,Chubut,1.34
77,2022,1,Córdoba,4.989
78,2022,1,Corrientes,3.811
79,2022,1,Entre Ríos,3.559
80,2022,1,Formosa,3.028
81,2022,1,Jujuy,2.769
82,2022,1,La Pampa,1.484
83,2022,1,La Rioja,4.137
84,2022,1,Mendoza,2.62
85,2022,1,Misiones,4.187
86,2022,1,Neuquén,4.305
87,2022,1,Río Negro,3.109
88,2022,1,Salta,3.671
89,2022,1,San Juan,1.199
90,2022,1,San Luis,2.095
91,2022,1,Santa Cruz,1.089
92,2022,1,Santa Fe,3.889
93,2022,1,Santiago Del Estero,1.45
94,2022,1,Tierra Del Fuego,1.073
95,2022,1,Tucumán,4.724
96,2021,4,Buenos Aires,6.021
97,2021,4,Capital Federal,8.295
98,2021,4,Catamarca,4.638
99,2021,4,Chaco,4.234
100,2021,4,Chubut,908.0
101,2021,4,Córdoba,4.636
102,2021,4,Corrientes,3.577
103,2021,4,Entre Ríos,3.332
104,2021,4,Formosa,2.876
105,2021,4,Jujuy,2.714
106,2021,4,La Pampa,1.385
107,2021,4,La Rioja,3.97
108,2021,4,Mendoza,2.223
109,2021,4,Misiones,3.89
110,2021,4,Neuquén,4.009
111,2021,4,Río Negro,2.72
112,2021,4,Salta,3.394
113,2021,4,San Juan,1.105
114,2021,4,San Luis,2.091
115,2021,4,Santa Cruz,899.0
116,2021,4,Santa Fe,3.602
117,2021,4,Santiago Del Estero,1.384
118,2021,4,Tierra Del Fuego,1.07
119,2021,4,Tucumán,4.515
120,2021,3,Buenos Aires,5.626
121,2021,3,Capital Federal,7.771
122,2021,3,Catamarca,4.343
123,2021,3,Chaco,3.911
124,2021,3,Chubut,818.0
125,2021,3,Córdoba,4.193
126,2021,3,Corrientes,3.217
127,2021,3,Entre Ríos,2.96
128,2021,3,Formosa,2.669
129,2021,3,Jujuy,2.598
130,2021,3,La Pampa,1.299
131,2021,3,La Rioja,3.887
132,2021,3,Mendoza,1.337
133,2021,3,Misiones,3.088
134,2021,3,Neuquén,3.834
135,2021,3,Río Negro,2.54
136,2021,3,Salta,3.121
137,2021,3,San Juan,704.0
138,2021,3,San Luis,2.17
139,2021,3,Santa Cruz,769.0
140,2021,3,Santa Fe,3.313
141,2021,3,Santiago Del Estero,1.335
142,2021,3,Tierra Del Fuego,952.0
143,2021,3,Tucumán,4.21
144,2021,2,Buenos Aires,5.276
145,2021,2,Capital Federal,7.275
146,2021,2,Catamarca,4.219
147,2021,2,Chaco,3.74
148,2021,2,Chubut,768.0
149,2021,2,Córdoba,3.959
150,2021,2,Corrientes,3.037
151,2021,2,Entre Ríos,2.762
152,2021,2,Formosa,2.397
153,2021,2,Jujuy,2.581
154,2021,2,La Pampa,1.228
155,2021,2,La Rioja,3.853
156,2021,2,Mendoza,1.347
157,2021,2,Misiones,2.868
158,2021,2,Neuquén,3.611
159,2021,2,Río Negro,2.375
160,2021,2,Salta,2.924
161,2021,2,San Juan,699.0
162,2021,2,San Luis,2.166
163,2021,2,Santa Cruz,763.0
164,2021,2,Santa Fe,3.07
165,2021,2,Santiago Del Estero,1.272
166,2021,2,Tierra Del Fuego,859.0
167,2021,2,Tucumán,4.031
168,2021,1,Buenos Aires,5.079
169,2021,1,Capital Federal,6.829
170,2021,1,Catamarca,3.997
171,2021,1,Chaco,3.363
172,2021,1,Chubut,753.0
173,2021,1,Córdoba,3.617
174,2021,1,Corrientes,2.599
175,2021,1,Entre Ríos,2.387
176,2021,1,Formosa,2.098
177,2021,1,Jujuy,2.678
178,2021,1,La Pampa,1.073
179,2021,1,La Rioja,1.27
180,2021,1,Mendoza,1.26
181,2021,1,Misiones,2.508
182,2021,1,Neuquén,3.424
183,2021,1,Río Negro,2.192
184,2021,1,Salta,2.732
185,2021,1,San Juan,691.0
186,2021,1,San Luis,2.159
187,2021,1,Santa Cruz,750.0
188,2021,1,Santa Fe,2.813
189,2021,1,Santiago Del Estero,1.158
190,2021,1,Tierra Del Fuego,873.0
191,2021,1,Tucumán,3.798
192,2020,4,Buenos Aires,5.001
193,2020,4,Capital Federal,6.733
194,2020,4,Catamarca,3.765
195,2020,4,Chaco,3.245
196,2020,4,Chubut,738.0
197,2020,4,Córdoba,3.512
198,2020,4,Corrientes,2.545
199,2020,4,Entre Ríos,2.405
200,2020,4,Formosa,1.97
201,2020,4,Jujuy,2.521
202,2020,4,La Pampa,988.0
203,2020,4,La Rioja,1.253
204,2020,4,Mendoza,1.109
205,2020,4,Misiones,2.496
206,2020,4,Neuquén,3.391
207,2020,4,Río Negro,2.164
208,2020,4,Salta,2.532
209,2020,4,San Juan,641.0
210,2020,4,San Luis,2.125
211,2020,4,Santa Cruz,749.0
212,2020,4,Santa Fe,2.729
213,2020,4,Santiago Del Estero,1.128
214,2020,4,Tierra Del Fuego,849.0
215,2020,4,Tucumán,3.644
216,2020,3,Buenos Aires,4.838
217,2020,3,Capital Federal,6.381
218,2020,3,Catamarca,3.654
219,2020,3,Chaco,3.08
220,2020,3,Chubut,740.0
221,2020,3,Córdoba,3.351
222,2020,3,Corrientes,2.385
223,2020,3,Entre Ríos,2.243
224,2020,3,Formosa,1.828
225,2020,3,Jujuy,2.191
226,2020,3,La Pampa,1.07
227,2020,3,La Rioja,1.219
228,2020,3,Mendoza,1.019
229,2020,3,Misiones,2.414
230,2020,3,Neuquén,3.146
231,2020,3,Río Negro,2.108
232,2020,3,Salta,2.526
233,2020,3,San Juan,603.0
234,2020,3,San Luis,2.085
235,2020,3,Santa Cruz,665.0
236,2020,3,Santa Fe,2.569
237,2020,3,Santiago Del Estero,1.088
238,2020,3,Tierra Del Fuego,851.0
239,2020,3,Tucumán,3.484
240,2020,2,Buenos Aires,4.566
241,2020,2,Capital Federal,6.048
242,2020,2,Catamarca,3.493
243,2020,2,Chaco,2.795
244,2020,2,Chubut,761.0
245,2020,2,Córdoba,3.099
246,2020,2,Corrientes,2.215
247,2020,2,Entre Ríos,2.045
248,2020,2,Formosa,1.687
249,2020,2,Jujuy,1.586
250,2020,2,La Pampa,803.0
251,2020,2,La Rioja,1.167
252,2020,2,Mendoza,927.0
253,2020,2,Misiones,2.256
254,2020,2,Neuquén,2.91
255,2020,2,Río Negro,1.968
256,2020,2,Salta,2.256
257,2020,2,San Juan,631.0
258,2020,2,San Luis,2.102
259,2020,2,Santa Cruz,659.0
260,2020,2,Santa Fe,2.393
261,2020,2,Santiago Del Estero,1.041
262,2020,2,Tierra Del Fuego,813.0
263,2020,2,Tucumán,3.27
264,2020,1,Buenos Aires,4.518
265,2020,1,Capital Federal,5.871
266,2020,1,Catamarca,2.913
267,2020,1,Chaco,2.594
268,2020,1,Chubut,712.0
269,2020,1,Córdoba,2.939
270,2020,1,Corrientes,2.054
271,2020,1,Entre Ríos,1.903
272,2020,1,Formosa,1.57
273,2020,1,Jujuy,1.414
274,2020,1,La Pampa,729.0
275,2020,1,La Rioja,796.0
276,2020,1,Mendoza,844.0
277,2020,1,Misiones,2.215
278,2020,1,Neuquén,2.777
279,2020,1,Río Negro,1.906
280,2020,1,Salta,2.143
281,2020,1,San Juan,604.0
282,2020,1,San Luis,2.099
283,2020,1,Santa Cruz,642.0
284,2020,1,Santa Fe,2.242
285,2020,1,Santiago Del Estero,1.0
286,2020,1,Tierra Del Fuego,741.0
287,2020,1,Tucumán,3.225
288,2019,4,Buenos Aires,3.077
289,2019,4,Capital Federal,4.42
290,2019,4,Catamarca,2.488
291,2019,4,Chaco,2.337
292,2019,4,Chubut,699.0
293,2019,4,Córdoba,2.616
294,2019,4,Corrientes,1.926
295,2019,4,Entre Ríos,1.701
296,2019,4,Formosa,1.453
297,2019,4,Jujuy,1.296
298,2019,4,La Pampa,653.0
299,2019,4,La Rioja,800.0
300,2019,4,Mendoza,779.0
301,2019,4,Misiones,2.032
302,2019,4,Neuquén,2.602
303,2019,4,Río Negro,1.718
304,2019,4,Salta,1.908
305,2019,4,San Juan,604.0
306,2019,4,San Luis,2.069
307,2019,4,Santa Cruz,521.0
308,2019,4,Santa Fe,2.055
309,2019,4,Santiago Del Estero,979.0
310,2019,4,Tierra Del Fuego,727.0
311,2019,4,Tucumán,2.987
312,2019,3,Buenos Aires,2.568
313,2019,3,Capital Federal,3.871
314,2019,3,Catamarca,929.0
315,2019,3,Chaco,1.999
316,2019,3,Chubut,697.0
317,2019,3,Córdoba,2.319
318,2019,3,Corrientes,1.67
319,2019,3,Entre Ríos,1.47
320,2019,3,Formosa,1.322
321,2019,3,Jujuy,1.197
322,2019,3,La Pampa,572.0
323,2019,3,La Rioja,800.0
324,2019,3,Mendoza,611.0
325,2019,3,Misiones,1.793
326,2019,3,Neuquén,2.375
327,2019,3,Río Negro,1.598
328,2019,3,Salta,1.475
329,2019,3,San Juan,604.0
330,2019,3,San Luis,1.974
331,2019,3,Santa Cruz,502.0
332,2019,3,Santa Fe,1.817
333,2019,3,Santiago Del Estero,939.0
334,2019,3,Tierra Del Fuego,669.0
335,2019,3,Tucumán,1.932
336,2019,2,Buenos Aires,2.248
337,2019,2,Capital Federal,3.035
338,2019,2,Catamarca,881.0
339,2019,2,Chaco,1.601
340,2019,2,Chubut,605.0
341,2019,2,Córdoba,1.843
342,2019,2,Corrientes,1.383
343,2019,2,Entre Ríos,1.219
344,2019,2,Formosa,1.084
345,2019,2,Jujuy,1.207
346,2019,2,La Pampa,549.0
347,2019,2,La Rioja,789.0
348,2019,2,Mendoza,603.0
349,2019,2,Misiones,1.45
350,2019,2,Neuquén,1.724
351,2019,2,Río Negro,1.163
352,2019,2,Salta,1.255
353,2019,2,San Juan,612.0
354,2019,2,San Luis,1.988
355,2019,2,Santa Cruz,601.0
356,2019,2,Santa Fe,1.507
357,2019,2,Santiago Del Estero,710.0
358,2019,2,Tierra Del Fuego,634.0
359,2019,2,Tucumán,1.853
360,2019,1,Buenos Aires,1.964
361,2019,1,Capital Federal,2.472
362,2019,1,Catamarca,796.0
363,2019,1,Chaco,1.344
364,2019,1,Chubut,589.0
365,2019,1,Córdoba,1.573
366,2019,1,Corrientes,1.205
367,2019,1,Entre Ríos,1.066
368,2019,1,Formosa,983.0
369,2019,1,Jujuy,856.0
370,2019,1,La Pampa,506.0
371,2019,1,La Rioja,709.0
372,2019,1,Mendoza,574.0
373,2019,1,Misiones,1.251
374,2019,1,Neuquén,1.588
375,2019,1,Río Negro,1.049
376,2019,1,Salta,1.038
377,2019,1,San Juan,584.0
378,2019,1,San Luis,871.0
379,2019,1,Santa Cruz,578.0
380,2019,1,Santa Fe,1.299
381,2019,1,Santiago Del Estero,642.0
382,2019,1,Tierra Del Fuego,634.0
383,2019,1,Tucumán,1.657
384,2018,4,Buenos Aires,1.693
385,2018,4,Capital Federal,2.294
386,2018,4,Catamarca,804.0
387,2018,4,Chaco,1.349
388,2018,4,Chubut,609.0
389,2018,4,Córdoba,1.581
390,2018,4,Corrientes,1.214
391,2018,4,Entre Ríos,1.102
392,2018,4,Formosa,982.0
393,2018,4,Jujuy,856.0
394,2018,4,La Pampa,432.0
395,2018,4,La Rioja,709.0
396,2018,4,Mendoza,575.0
397,2018,4,Misiones,1.25
398,2018,4,Neuquén,1.589
399,2018,4,Río Negro,1.049
400,2018,4,Salta,1.046
401,2018,4,San Juan,572.0
402,2018,4,San Luis,882.0
403,2018,4,Santa Cruz,512.0
404,2018,4,Santa Fe,1.318
405,2018,4,Santiago Del Estero,631.0
406,2018,4,Tierra Del Fuego,744.0
407,2018,4,Tucumán,1.658
408,2018,3,Buenos Aires,1.678
409,2018,3,Capital Federal,2.164
410,2018,3,Catamarca,781.0
411,2018,3,Chaco,1.289
412,2018,3,Chubut,608.0
413,2018,3,Córdoba,1.482
414,2018,3,Corrientes,1.149
415,2018,3,Entre Ríos,1.052
416,2018,3,Formosa,932.0
417,2018,3,Jujuy,767.0
418,2018,3,La Pampa,428.0
419,2018,3,La Rioja,616.0
420,2018,3,Mendoza,579.0
421,2018,3,Misiones,1.249
422,2018,3,Neuquén,1.467
423,2018,3,Río Negro,1.006
424,2018,3,Salta,927.0
425,2018,3,San Juan,574.0
426,2018,3,San Luis,881.0
427,2018,3,Santa Cruz,537.0
428,2018,3,Santa Fe,1.236
429,2018,3,Santiago Del Estero,578.0
430,2018,3,Tierra Del Fuego,599.0
431,2018,3,Tucumán,1.526
432,2018,2,Buenos Aires,1.468
